https://www.youtube.com/watch?v=rwz7-h9LCDU	Nightwish - Music
https://www.youtube.com/watch?v=bv5CAFlrNWE	Nightwish - Pan
https://www.youtube.com/watch?v=LczGSoibRe8	Nightwish - Noice
https://www.youtube.com/watch?v=Xy29T7LBM_I	Nightwish - Harvest
https://www.youtube.com/watch?v=s0bG2ce5blo	Nightwish - Tribal
https://www.youtube.com/watch?v=OZBpu67tbS0	Nightwish - Procession
https://www.youtube.com/watch?v=Rjp_DfvJimg	Nightwish - Shoemaker
https://www.youtube.com/watch?v=DLFI7Cs7qmk	Nightwish - Endlessness
https://www.youtube.com/watch?v=_EagLsFGJIE	Nightwish - Vista
https://www.youtube.com/watch?v=Cepe4Q6d8Cg	Nightwish - The Blue
https://www.youtube.com/watch?v=vb7SZfO98C0	Nightwish - The Green
https://www.youtube.com/watch?v=b8HM7vzU5rw	Nightwish - Moors
https://www.youtube.com/watch?v=rVryEboMof8	Nightwish - Aurorae
https://www.youtube.com/watch?v=ljLNVVktYB4	Nightwish - Quiet as the snow
https://www.youtube.com/watch?v=Gx-BnTqGq5Y	Nightwish - Anthropocene
https://www.youtube.com/watch?v=CiojddlKcAE	Nightwish - Ad Astra














